"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","member_casual"
"D560250F8D309609","electric_bike",2022-05-18 21:54:17,2022-05-18 21:54:17,"Sheffield Ave & Waveland Ave","TA1307000126","Sheffield Ave & Waveland Ave","TA1307000126","casual"
"BFBB6A6738483E73","electric_bike",2022-05-23 10:04:00,2022-05-23 10:04:00,"Sheridan Rd & Lawrence Ave","TA1309000041","Sheridan Rd & Lawrence Ave","TA1309000041","member"
"75AED7E140A857A2","classic_bike",2022-05-11 18:28:00,2022-05-11 18:28:00,"Calumet Ave & 18th St","13102","Calumet Ave & 18th St","13102","casual"
"CD92B5D5FE317FC8","electric_bike",2022-05-25 14:40:57,2022-05-25 14:40:57,"Sedgwick St & Webster Ave","13191",NA,NA,"member"
"9483F54773065B84","electric_bike",2022-05-29 14:11:58,2022-05-29 14:11:58,"Rush St & Hubbard St","KA1503000044",NA,NA,"casual"
"105267420BA904D6","electric_bike",2022-05-28 14:12:05,2022-05-28 14:12:05,"Streeter Dr & Grand Ave","13022",NA,NA,"casual"
"A78BFE05C5F559A9","electric_bike",2022-05-26 13:39:34,2022-05-26 13:39:34,"Michigan Ave & 114th St","20243",NA,NA,"casual"
"90D7273E2270B8FA","electric_bike",2022-05-13 18:52:36,2022-05-13 18:52:36,"Orleans St & Hubbard St","636",NA,NA,"member"
"25915DBFC9226109","electric_bike",2022-05-31 17:16:04,2022-05-31 17:16:04,"Canal St & Adams St","13011",NA,NA,"member"
"25BB2692AF340199","electric_bike",2022-05-30 14:47:15,2022-05-30 14:47:15,"Millennium Park","13008",NA,NA,"casual"
"4D5944027810C1FD","electric_bike",2022-05-28 17:34:24,2022-05-28 17:34:24,"Rhodes Ave & 32nd St","13215",NA,NA,"casual"
"0815096FFF417C89","classic_bike",2022-05-16 18:38:21,2022-05-16 18:38:21,"Pine Grove Ave & Waveland Ave","TA1307000150","Pine Grove Ave & Waveland Ave","TA1307000150","member"
"2C74884EE1C53D2C","classic_bike",2022-05-13 18:20:00,2022-05-13 18:20:00,"Clark St & Elm St","TA1307000039","Clark St & Elm St","TA1307000039","member"
"90BA35F4253F5C7E","classic_bike",2022-05-16 18:22:58,2022-05-16 18:22:58,"Clark St & Elm St","TA1307000039","Clark St & Elm St","TA1307000039","casual"
"AB9E065B35AB8582","electric_bike",2022-05-15 18:16:46,2022-05-15 18:16:46,"Francisco Ave & Foster Ave","KA1504000160","Francisco Ave & Foster Ave","KA1504000160","member"
"FA12AA9AEFA260FB","classic_bike",2022-05-19 16:20:25,2022-05-19 16:20:25,"Harper Ave & 59th St","KA1503000070","Harper Ave & 59th St","KA1503000070","member"
"225B2A56CDB24CB9","classic_bike",2022-05-28 23:05:51,2022-05-28 23:05:51,"Mies van der Rohe Way & Chestnut St","15529","Mies van der Rohe Way & Chestnut St","15529","member"
"67E452E8CE422B91","classic_bike",2022-05-07 22:10:40,2022-05-07 22:10:40,"Honore St & Division St","TA1305000034","Honore St & Division St","TA1305000034","member"
"0526D11FD94DEA97","classic_bike",2022-05-24 18:14:05,2022-05-24 18:14:05,"Honore St & Division St","TA1305000034","Honore St & Division St","TA1305000034","member"
